"area_id","weight","weight_perc2.5","weight_perc25","weight_perc50","weight_perc75","weight_perc97.5","weight_std","weight_ci95","volume","volume_perc2.5","volume_perc25","volume_perc50","volume_perc75","volume_perc97.5","volume_std","volume_ci95","fat","fat_perc2.5","fat_perc25","fat_perc50","fat_perc75","fat_perc97.5","fat_std","fat_ci95","saturate","saturate_perc2.5","saturate_perc25","saturate_perc50","saturate_perc75","saturate_perc97.5","saturate_std","saturate_ci95","salt","salt_perc2.5","salt_perc25","salt_perc50","salt_perc75","salt_perc97.5","salt_std","salt_ci95","sugar","sugar_perc2.5","sugar_perc25","sugar_perc50","sugar_perc75","sugar_perc97.5","sugar_std","sugar_ci95","protein","protein_perc2.5","protein_perc25","protein_perc50","protein_perc75","protein_perc97.5","protein_std","protein_ci95","carb","carb_perc2.5","carb_perc25","carb_perc50","carb_perc75","carb_perc97.5","carb_std","carb_ci95","fibre","fibre_perc2.5","fibre_perc25","fibre_perc50","fibre_perc75","fibre_perc97.5","fibre_std","fibre_ci95","alcohol","alcohol_perc2.5","alcohol_perc25","alcohol_perc50","alcohol_perc75","alcohol_perc97.5","alcohol_std","alcohol_ci95","energy_fat","energy_fat_perc2.5","energy_fat_perc25","energy_fat_perc50","energy_fat_perc75","energy_fat_perc97.5","energy_fat_std","energy_fat_ci95","energy_saturate","energy_saturate_perc2.5","energy_saturate_perc25","energy_saturate_perc50","energy_saturate_perc75","energy_saturate_perc97.5","energy_saturate_std","energy_saturate_ci95","energy_sugar","energy_sugar_perc2.5","energy_sugar_perc25","energy_sugar_perc50","energy_sugar_perc75","energy_sugar_perc97.5","energy_sugar_std","energy_sugar_ci95","energy_protein","energy_protein_perc2.5","energy_protein_perc25","energy_protein_perc50","energy_protein_perc75","energy_protein_perc97.5","energy_protein_std","energy_protein_ci95","energy_carb","energy_carb_perc2.5","energy_carb_perc25","energy_carb_perc50","energy_carb_perc75","energy_carb_perc97.5","energy_carb_std","energy_carb_ci95","energy_fibre","energy_fibre_perc2.5","energy_fibre_perc25","energy_fibre_perc50","energy_fibre_perc75","energy_fibre_perc97.5","energy_fibre_std","energy_fibre_ci95","energy_alcohol","energy_alcohol_perc2.5","energy_alcohol_perc25","energy_alcohol_perc50","energy_alcohol_perc75","energy_alcohol_perc97.5","energy_alcohol_std","energy_alcohol_ci95","energy_tot","energy_tot_perc2.5","energy_tot_perc25","energy_tot_perc50","energy_tot_perc75","energy_tot_perc97.5","energy_tot_std","energy_tot_ci95","f_energy_fat","f_energy_saturate","f_energy_sugar","f_energy_protein","f_energy_carb","f_energy_fibre","f_energy_alcohol","energy_density","h_nutrients_weight","h_nutrients_weight_norm","h_nutrients_calories","h_nutrients_calories_norm","f_beer","f_dairy","f_eggs","f_fats_oils","f_fish","f_fruit_veg","f_grains","f_meat_red","f_poultry","f_readymade","f_sauces","f_soft_drinks","f_spirits","f_sweets","f_tea_coffee","f_water","f_wine","f_dairy_weight","f_eggs_weight","f_fats_oils_weight","f_fish_weight","f_fruit_veg_weight","f_grains_weight","f_meat_red_weight","f_poultry_weight","f_readymade_weight","f_sauces_weight","f_sweets_weight","h_items","h_items_norm","h_items_weight","h_items_weight_norm","representativeness_norm","transaction_days","num_transactions","man_day","population","male","female","age_0_17","age_18_64","age_65+","avg_age","area_sq_km","people_per_sq_km"
"E05000205",446.728820108656,40,180,325,500,1728.75000000004,570.162258929365,6.91242596084402,126.0764695436,19,50,75,175,412.5,126.128314673521,3.29504459358063,9.9766187284177,0,0.2,2.2,15.4,52.4,15.5777194479655,0.153852800218545,3.95749192565553,0,0.1,0.7,4.4,21.7,7.32120511905888,0.0723076257923405,0.624990487253671,0,0.02,0.2,0.8,2.7,1.7339637817977,0.0171254325254879,10.5835456530568,0,0.9,3.6,10.7,58.7,17.1477563301726,0.16935921446492,5.38182104407868,0,0.4,3.1,8.3,23.8,6.57287124330345,0.0649167324932316,18.8419134673971,0,0.1,7.5,31.2,73.1,23.8288256640836,0.235344561608318,1.5945833333333,0,0,1,2.4,7.2,2.337423423556,0.0230854805295313,0.325879174791796,0,0,0,0,7.11,2.04197187181533,0.0201674636326387,89.7895685557537,0,1.8,19.8,138.6,471.6,140.199475031689,1.38467520196691,35.6174273308974,0,0.9,6.3,39.6,195.3,65.8908460715298,0.650768632131065,42.3341826122274,0,3.6,14.4,42.8,234.8,68.5910253206904,0.677436857859679,21.5272841763147,0,1.6,12.4,33.2,95.2,26.2914849732138,0.259666929972926,75.3676538695885,0,0.4,30,124.8,292.4,95.3153026563346,0.94137824643327,2.96816727605116,0,0,1.6,4.4,14,4.59857513161343,0.0454176661338251,2.28115422354256,0,0,0,0,49.77,14.2938031027073,0.141172245428471,191.933828101253,0,43,129.2,299.3,604.1,182.348713376846,1.80096067739497,0.467815233218743,0.185571390323689,0.220566551665371,0.112159927144048,0.392675197567722,0.0154645343419365,0.0118851077275401,0.429642815645002,1.67168840041836,0.719957006463396,1.56531649449124,0.674145120142995,0.0124198206025913,0.0949886279420408,0.0112953923998875,0.0385627763154532,0.0223863433083744,0.262860647568424,0.149625616518873,0.0556080856609849,0.0232552196468273,0.0456160077687767,0.0159719915156781,0.0323273108277325,0.00587769287776954,0.172574173928599,0.00485548542076614,0.0308195548286525,0.0209552528685697,0.0472104369955422,0.023954101337681,0.0306365515663313,0.0203156028633556,0.364584505321929,0.217345242627722,0.0564896888642458,0.0593013850415369,0.0371542613727104,0.0119718836927107,0.131036340316235,3.3013021622577,0.807665363692419,2.72748337939288,0.788419509349127,0.202438412925488,31,59471,4391,15794,7736,8058,3228,10408,2158,37.6247942252203,1.92,8226.04166666667
"E05000206",475.50159389348,47.5,200,354.6,550,2000,535.486683978384,2.41808624451564,132.177047993658,18,56.8,100,200,340.8,120.917022839668,1.16418668542305,9.63250082536703,0,0.2,2.2,13.7,55.8,15.7614195186883,0.0576492769895437,3.78368580443096,0,0.1,0.7,4.3,21.7,7.08496887684082,0.0259141210446812,0.630276513428851,0,0.02,0.2,0.8,2.5,2.9787051437988,0.0108949703230364,10.2639311709077,0,1,3.8,10.8,58.5,16.5752780359756,0.0606260618557648,5.34018199800714,0,0.5,3.2,8.1,23.7,6.45398157716868,0.0236062095286814,19.387193092363,0,0.3,7.9,34.8,73.6,23.9545224032963,0.0876165307028629,1.51750837553018,0,0,1,2.3,6.8,2.16599834258519,0.00792239799610233,0.29403983879281,0,0,0,0,2.8,2.03900459475054,0.00745790317466976,86.6925074282709,0,1.8,19.8,123.3,502.2,141.852775668196,0.518843492905893,34.0531722399338,0,0.9,6.3,38.7,195.3,63.7647198915673,0.233227089402131,41.0557246836307,0,4,15.2,43.2,234,66.3011121439026,0.242504247423059,21.3607279920285,0,2,12.8,32.4,94.8,25.8159263086747,0.0944248381147258,77.5487723694519,0,1.2,31.6,139.2,294.4,95.8180896131852,0.350466122811452,2.8220332513775,0,0,1.4,4.4,13.6,4.19966750246531,0.0153607861796038,2.05827887154978,0,0,0,0,19.6,14.273032163254,0.0522053222226884,190.482319912661,0,44,126.3,299.2,615.9,181.849043331815,0.665134625525902,0.455121018412736,0.178773401413568,0.215535618751679,0.112140213337504,0.407117954070536,0.0148151978234591,0.0108056163558567,0.400592389928629,1.6464153103299,0.709072479012217,1.55928796500972,0.671548773815649,0.0123899815848253,0.0989167956195691,0.0143400295483031,0.0405168852447538,0.0209288810155654,0.25484011007093,0.150342746311714,0.057230581793484,0.0216815925275002,0.0457578579580862,0.0167977201593648,0.0335184186756479,0.00685492623427182,0.169916746605796,0.00566109076650538,0.0360181210920269,0.0142875147916564,0.0439635289673396,0.0320003300416103,0.0313055510147557,0.0159368960971552,0.369045177929937,0.215118789672806,0.0570155081339887,0.0578707615873534,0.042010408085796,0.0130431682334763,0.122689880235782,3.32342146288924,0.813076862583201,2.73496969280426,0.790583539235151,0.784189825414292,31,434759,33318,15690,7675,8015,4590,9569,1531,33.2802421918846,3.55,4419.71830985915
"E05000207",432.208912882454,47,190,335,500,1500,444.392620737533,2.28312057750022,123.482918012396,15,56.8,75,175,396,120.106274617803,1.28144186731527,9.76447834213692,0,0.2,2.3,14.3,50.9,15.3516930372516,0.0640875063636658,3.90255871304673,0,0.1,0.8,4.5,21.7,7.18226870996371,0.0299832526965222,0.664520125279131,0,0.04,0.2,0.88,2.8,2.44600052872738,0.0102111261650403,10.0396920173509,0,0.8,3.4,10,58.9,16.745450208068,0.0699059148829974,5.44480392690653,0,0.5,3.2,8.3,24,6.60226096518822,0.0275619399498388,18.7656977788704,0,0.2,7.6,30.6,73,23.5928045869056,0.0984910270437984,1.54158165024421,0,0,1,2.3,7,2.27772491358208,0.00950863918003448,0.416664372039857,0,0,0,0,7.11,2.36787455350164,0.00988497979653904,87.8803050792197,0,1.8,20.7,128.7,458.1,138.165237335265,0.576787557272992,35.1230284174657,0,0.9,7.2,40.5,195.3,64.640418389673,0.2698492742687,40.1587680694038,0,3.2,13.6,40,235.6,66.9818008322722,0.27962365953199,21.7792157076261,0,2,12.8,33.2,96,26.4090438607529,0.110247759799355,75.0627911154817,0,0.8,30.4,122.4,292,94.3712183476223,0.393964108175194,2.88458716678473,0,0,1.4,4.4,13.6,4.46756534088659,0.018650393902445,2.91665060427909,0,0,0,0,49.77,16.5751218745118,0.0691948585757733,190.523549673378,0,46.1,131.8,295.2,593.5,178.940274744078,0.747007901249072,0.461256916690228,0.184350063168981,0.210781124633934,0.114312460296709,0.393981695408073,0.0151403182007153,0.0153086094043452,0.440813560282117,1.68220625261545,0.724486798845964,1.58587115010435,0.682997528474834,0.016964598987501,0.0930022737939551,0.0130367224558797,0.0412654870885868,0.0190378980848184,0.251488902153953,0.143613555275065,0.064837302979627,0.0225647849009145,0.0529898795663843,0.0193113001635856,0.0323070123076502,0.0077782891409251,0.162924855438651,0.00528121682151856,0.0300241049499446,0.0235718158910402,0.0461169078472825,0.0270559863890204,0.0343501528752769,0.0174588509623514,0.366883241238532,0.185903152693947,0.0677127569691675,0.0579540130542954,0.0553927168481495,0.0162317204762151,0.124940500645763,3.37567494335479,0.825860704906662,2.80039089852062,0.809494508703056,0.642086022444502,31,315546,21476,15278,7415,7863,4296,9488,1494,33.7466945922117,2.87,5323.34494773519
"E05000208",388.88953041586,37.5,166.8,300,500,1100,394.499947755968,4.50892267255902,115.12591896749,15,56.8,75,132,340.8,106.50985629424,2.66877892554459,10.1299138423564,0,0.2,2.2,16.3,50.5,15.248572762101,0.142878055638965,4.1042753845105,0,0.1,0.8,4.7,21.7,7.38175714316388,0.0691665458970462,0.611446302877184,0,0.02,0.2,0.8,2.7,1.73454875261325,0.0162525999679349,10.9300863861776,0,0.9,3.7,10.9,60,17.5429463712467,0.164376175187495,5.34857005736216,0,0.5,3.2,7.8,24,6.54249758474651,0.0613027427887892,18.6560975386792,0,0.3,7.6,29.9,72,23.4430058953506,0.219659318476375,1.63917521767947,0,0,1,2.4,7.5,2.35487120192939,0.0220649777432355,0.356723904518138,0,0,0,0,7.11,2.0842054701076,0.0195288588490849,91.1692245812065,0,1.8,19.8,146.7,454.5,137.237154858908,1.28590250075069,36.9384784605861,0,0.9,7.2,42.3,195.3,66.4358142884749,0.622498913073416,43.7203455447105,0,3.6,14.8,43.6,240,70.171785484987,0.657504700749982,21.3942802294486,0,2,12.8,31.2,96,26.1699903389861,0.245210971155157,74.6243901547168,0,1.2,30.4,119.6,288,93.7720235814025,0.878637273905501,3.06165459240809,0,0,1.8,4.6,14.8,4.62999834692805,0.0433827592746826,2.49706733162695,0,0,0,0,49.77,14.5894382907532,0.136702011943594,192.746616889403,0,45.9,126.9,306.4,590.9,182.306203937467,1.70819632472393,0.473000388035443,0.191642681239802,0.226828082641767,0.110996916961321,0.387163164568205,0.0158843493173468,0.0129551811177041,0.495633340098637,1.682946123532,0.724805443905721,1.56908117940805,0.675766481685198,0.0131512624295468,0.102094120881639,0.0103102231590524,0.0338862667827521,0.0205975347110846,0.270815194977776,0.142097786738762,0.0531778398936901,0.0177794070476103,0.0548045639921184,0.0158548320579205,0.0282270998487834,0.00568207854098886,0.178366860651606,0.00524675800760665,0.0216972918480502,0.0262108784310131,0.0567766996731896,0.0209029619258118,0.0301018111982568,0.0178141619165778,0.370139839550354,0.19221008731124,0.0583598996369704,0.0428931484261561,0.0566439172003074,0.0142331813069474,0.139924291854189,3.25905733184933,0.797330143031318,2.7483209409795,0.794442915470055,0.278173127897555,30,65898,6208,15456,7530,7926,3512,9705,2239,37.6955227741149,2.68,5767.16417910448
"E05000209",429.81407474601,45,190,320,500,1500,476.609423122385,3.97892403733924,118.605769730568,15,56.8,75,150,396,115.986259661731,2.11612263074925,10.0261781458871,0,0.2,2,15,57,16.0989200976032,0.109800228513431,4.13314029351966,0,0.1,0.6,4.3,24,8.01631053581511,0.0546740230606009,0.622098208490598,0,0.01,0.1695,0.8,2.8,1.73182968727331,0.0118116801783036,9.6026216458377,0,0.7,3.2,9.6,58.5,16.4292070081591,0.112052899999106,5.36161326649245,0,0.5,2.6,7.9,24,6.74081671190559,0.0459747120208752,17.2078567276956,0,0.2,6,23.925,73,22.8684861651863,0.155971021128772,1.58730347282763,0,0,1,2.4,7.2,2.27250915519827,0.0154993020045353,0.397805340380711,0,0,0,0,7.11,2.28265355853264,0.0155684903598717,90.2356033129976,0,1.8,18,135,513,144.890280878428,0.98820205662088,37.1982626416645,0,0.9,5.4,38.7,216,72.1467948223363,0.492066207545408,38.4104865833508,0,2.8,12.8,38.4,234,65.7168280326365,0.448211599996425,21.4464530659698,0,2,10.4,31.6,96,26.9632668476224,0.183898848083501,68.8314269107825,0,0.8,24,95.7,292,91.4739446607452,0.623884084515089,2.97003220962886,0,0,1.8,4.4,14.4,4.44745779152106,0.0303332073736769,2.78463738266484,0,0,0,0,49.77,15.9785749097284,0.108979432519102,186.268152882043,0,41.5,116.5,288.325,628.2,182.32732849169,1.24353572856179,0.484439244802845,0.199702751469388,0.206210702092885,0.115137519399525,0.369528692080665,0.0159449275878614,0.0149496161291096,0.433369132902673,1.71403460798342,0.738194525384976,1.58218661379822,0.681410685060415,0.0154820976843744,0.0962857559836544,0.0129524226503211,0.0430774469741195,0.0226819420120646,0.299924596224946,0.124939190503989,0.0621959525199455,0.0211860284101965,0.0453273983265227,0.0175374586495427,0.0220251994551469,0.00633634948433547,0.15156158785756,0.00470665499124343,0.0273642732049037,0.0264156450671337,0.0532797249423739,0.0258079087162712,0.0328604921223849,0.0208513799466898,0.401104003004016,0.175188961852052,0.0611656940375772,0.0498941446374519,0.0443177050467793,0.014092565791499,0.121437419902905,3.28338906227513,0.803282914070665,2.72642977979352,0.788114950763932,0.337233627628417,30,120989,6894,14121,7115,7006,2814,8998,2309,39.4580412169237,2.62,5389.69465648855
"E05000210",413.735209690407,47.5,190,320,500,1500,400.355219798779,1.71290927498327,117.005627227469,15,56.8,75,132,340.8,107.220627772447,0.959406695466825,9.68770262494924,0,0.2,2.2,14.5,50.5,15.1212479707088,0.0528716971783259,3.9068260814198,0,0.1,0.7,4.4,21.7,7.17852161581139,0.0250998212445465,0.671503943147635,0,0.05,0.2,0.88,2.8,2.59819628290031,0.00908463688615243,10.0176712388985,0,0.8,3.2,9.9,59.9,16.8579707863596,0.058944177635603,5.53785777936183,0,0.6,3.2,8.4,24,6.73593565027418,0.0235523119919641,18.4472491852721,0,0.3,7.4,28.4,73,23.3973842080242,0.0818093463587067,1.54548603508412,0,0,1,2.3,7.1,2.27309976881547,0.00794793147137985,0.429614022487718,0,0,0,0,7.11,2.31427524735486,0.00809190222278371,87.1893236244854,0,1.8,19.8,130.5,454.5,136.091231736378,0.475845274604933,35.1614347328226,0,0.9,6.3,39.6,195.3,64.6066945423026,0.225898391200919,40.0706849555938,0,3.2,12.8,39.6,239.6,67.4318831454382,0.235776710542412,22.1514311174473,0,2.4,12.8,33.6,96,26.9437426010967,0.0942092479678564,73.7889967410886,0,1.2,29.6,113.6,292,93.5895368320966,0.327237385434827,2.90979644575728,0,0,1.4,4.4,14,4.5027614386188,0.015743980900919,3.00729815741429,0,0,0,0,49.77,16.1999267314839,0.056643315559486,189.046846086236,0,46.2,127,293.25,587.1,177.55575550437,0.620826677499149,0.461204857047511,0.185993236389584,0.211961668682455,0.117174296086075,0.390321226027906,0.0153919333011773,0.0159076875371011,0.456927140012322,1.69307277859759,0.729166756854167,1.59488633869412,0.686880158867059,0.0176455760020166,0.0935502707463153,0.0124221025996113,0.0405720612776929,0.0211076826859566,0.254973786906536,0.135787972290383,0.0694942133359711,0.0213980529239645,0.0542800892170534,0.0209736656530299,0.0275819817290112,0.0062222193858829,0.162342490100289,0.00537982660748644,0.0263439196153073,0.0299240889234922,0.0474276945514169,0.0244683249198359,0.0358552593286733,0.0192534400904815,0.37276063815128,0.170675434419422,0.0716225322512001,0.0521294333983976,0.0600795145887221,0.0181726775940342,0.127555050706536,3.3757615908698,0.825881903268181,2.8098188550053,0.812219799306833,0.799009322296092,31,436023,24477,15112,7247,7865,3428,9277,2407,39.0277263117794,2.22,6807.20720720721
"E05000211",432.359113924927,40,190,320,500,1500,463.042837151162,2.67270873841204,132.491057775676,15,56.8,90,200,412.5,123.414623550826,1.51859149643554,9.9395145191107,0,0.2,2.4,15,51,15.5057905158391,0.073254095775,3.97113464018678,0,0.1,0.9,4.8,21.7,7.16980007938409,0.0338723279645949,0.655866134570602,0,0.04,0.21,0.88,2.7,1.89804532115257,0.00896694648357155,10.7832216735052,0,0.9,3.6,11,59.9,17.3249392862412,0.0818483108277486,5.38351264829947,0,0.4,3.2,8,23.7,6.50046622730027,0.0307101901776879,19.3684232328995,0,0.1,7.9,33.5,73.5,24.0439867741567,0.113591145718609,1.48602981675366,0,0,0.9,2.3,6.8,2.15156387612343,0.0101646456584446,0.377634711825619,0,0,0,0,7.11,2.3643181391116,0.01116976185304,89.4556306719974,0,1.8,21.6,135,459,139.552114642553,0.659286861975,35.7402117617099,0,0.9,8.1,43.2,195.3,64.5282007144579,0.304850951681354,43.1328866940206,0,3.6,14.4,44,239.6,69.2997571449647,0.327393243310995,21.5340505931979,0,1.6,12.8,32,94.8,26.0018649092011,0.122840760710752,77.4736929315979,0,0.4,31.6,134,294,96.1759470966269,0.454364582874435,2.74772841887534,0,0,1.4,4.4,13.4149999999965,4.1955977542891,0.0198212867258922,2.64344298277931,0,0,0,0,49.77,16.550226973781,0.0781883329712798,193.854545598413,0,46.2,131.8,304.2,590.9,182.168818848749,0.860621204029131,0.461457482958963,0.184366126940087,0.222501291165873,0.111083547340734,0.399648575133706,0.0141741758512462,0.0136362187155283,0.448364656497268,1.65935124893393,0.71464368452565,1.56737531517876,0.67503180595039,0.0145831995469751,0.0931444951048788,0.0111504848417624,0.0412100903130893,0.0189499862808171,0.232426310473866,0.147174724010905,0.0672239963104155,0.0230365514060703,0.0490387815030386,0.0196388644019312,0.0386413922343587,0.0082898892540851,0.178781386279649,0.00618822718966916,0.0324006234930791,0.0181209973554086,0.0449893720847306,0.0242743791225577,0.0348867422486113,0.016344268056359,0.353946764941279,0.196822080019639,0.0709403394567912,0.0565543443734159,0.0490119667522526,0.0171987636765172,0.135030979267847,3.37953059015424,0.826803990986364,2.79859219339798,0.808974566319183,0.580826987298775,31,253240,17452,15119,7160,7959,4340,9081,1698,34.3300482841961,2.27,6660.35242290749
"E05000212",460.771805424569,43,190,350,600,1500,491.471728332267,3.18626329469668,132.804623115572,15,50,100,200,412.5,125.211704088434,1.73977423899481,10.089504106118,0,0.2,2.8,15.6,50.5,15.3330050248507,0.0810877740064174,4.0891204315774,0,0.1,0.9,5.5,21.7,7.11600164708797,0.037632592727464,0.642343488453479,0,0.03,0.22,0.8,2.5,1.98467343352651,0.0104958389169971,11.6993197676111,0,1.1,4,11.9,58.5,18.0874931178046,0.0956547364265578,5.2587999068121,0,0.4,3.2,7.9,23.6,6.4228328902527,0.0339668069658686,19.7187064999009,0,0.1,7.9,36.8,73.1,24.4069947869184,0.129075081776197,1.48118982789252,0,0,1,2.2,6.8,2.14500333875273,0.0113437350143624,0.320858413247331,0,0,0,0,7.04,2.17946186569421,0.011525967084377,90.8055369550657,0,1.8,25.2,140.4,454.5,137.997045223656,0.729789966057757,36.8020838842072,0,0.9,8.1,49.5,195.3,64.0440148237922,0.338693334547176,46.7972790704445,0,4.4,16,47.6,234,72.3499724712182,0.382618945706231,21.0351996272484,0,1.6,12.8,31.6,94.4,25.6913315610108,0.135867227863475,78.8748259996037,0,0.4,31.6,147.2,292.4,97.6279791476737,0.516300327104789,2.73544745042065,0,0,1.4,4.2,13.6,4.17476925093678,0.0220780430841996,2.2460088927313,0,0,0,0,49.28,15.2562330598593,0.080681769590639,195.697018925042,0,46.2,135.485,306.8,591.6,181.364483911033,0.959136337615055,0.464010833960875,0.188056435843326,0.239131282262247,0.107488605308319,0.403045618338291,0.0139779719969491,0.0114769703957094,0.424715697924964,1.64111013648121,0.706787664999083,1.54835918871674,0.666842006057839,0.0100115630626015,0.0919775764406259,0.0122217180661875,0.0392119553285227,0.0202134043705449,0.22842171513883,0.146902123797954,0.0602816118031059,0.0231480803852403,0.0479574362201958,0.0182667115528168,0.0403755799827286,0.00835760600693783,0.194457048345311,0.00555466108517147,0.0381800617672458,0.01446114664598,0.0434945651451487,0.026999038554675,0.0322261449340172,0.0165901276394742,0.325287234969518,0.202002267680114,0.0590730304616331,0.0600977457366772,0.0432444086521525,0.0144618011573274,0.176523635069263,3.35045157162919,0.819689793339943,2.79929224747284,0.809176927328747,0.372006024953383,31,203821,13658,19317,9318,9999,5647,11972,1698,32.8299425375384,2.64,7317.04545454545
"E05000213",389.062766303463,38,170,300,500,1200,418.10788087777,5.22547260637727,110.879894929954,18.7,56.8,75,113.6,340.8,110.601068862377,2.8000403754253,9.89774218417721,0,0.2,2.2,15.6,50.5,15.0941205543378,0.152539941065319,3.95377716929021,0,0.1,0.6,4.4,21.7,7.26019014047337,0.0733708845218245,0.622902468364497,0,0.01,0.2,0.8,2.8,1.84861956031541,0.0186819972563203,10.6379878243298,0,0.8,3.4,10.3,59.5,17.4057645287477,0.175901224973916,5.3656207464907,0,0.4,3.2,8.3,23.6,6.52109376094548,0.0659016372895055,18.4907438324108,0,0.1,7,29.9,71.7,23.4095920008066,0.236575411685046,1.6011303700553,0,0,1,2.3,7.2,2.38884935645129,0.0241415151505653,0.511674179072744,0,0,0,0,7.11,2.4762636405128,0.0250249167168245,89.0796796575908,0,1.8,19.8,140.4,454.5,135.847084989041,1.37285946958787,35.5839945236081,0,0.9,5.4,39.6,195.3,65.3417112642602,0.660337960696421,42.5519512973191,0,3.2,13.6,41.2,238,69.6230581149909,0.703604899895665,21.4624829859628,0,1.6,12.8,33.2,94.4,26.0843750437819,0.263606549158022,73.9629753296432,0,0.4,28,119.6,286.8,93.6383680032263,0.946301646740185,3.0173383666525,0,0,1.8,4.4,14.2,4.74209060124661,0.0479231776529487,3.58171925350919,0,0,0,0,49.77,17.3338454835896,0.175174417017772,191.104195593356,0,44.2,131.1,297,587.1,180.212764062125,1.82121537391289,0.466131470222352,0.186202058061175,0.222663616385817,0.112307753994225,0.387029573578942,0.0157889697674299,0.018742232437066,0.491191170538013,1.70309134542674,0.733481518732972,1.5996330545984,0.688924458134869,0.0201104206118475,0.0915104152775185,0.00970847891606433,0.0332862134265063,0.0221908089510042,0.263035766676446,0.145707198677086,0.0561971568026032,0.0178433307550743,0.0533166191022324,0.0140292854666204,0.0264582722108127,0.00952177739844771,0.169951724321873,0.00456085135892033,0.0262715706931961,0.036300109353746,0.0462821154452085,0.0209664262499657,0.0283025754348244,0.0203932305323246,0.376773126719955,0.192181278610961,0.0674962895053545,0.048222780374921,0.0529628013094272,0.0132209865526752,0.133198389264383,3.32402258628163,0.813223927747028,2.73787715917613,0.791423985496959,0.256322214210151,30,54991,5103,14020,6966,7054,2912,8947,2161,39.4751069905906,2.75,5098.18181818182
"E05000214",458.854393123772,39,190,340,500,1750,586.040490564602,8.0503107970844,117.978947961253,15,47.3,75,150,600,130.934103753489,3.85280259690265,9.82299765975449,0,0.2,2.3,14.6,51.2875,15.8330088104526,0.176926592383818,3.71319007995866,0,0.1,0.7,4.3,21.2,6.8733881810136,0.0768069520807139,0.647347925469689,0,0.01,0.2,0.8,2.6,2.10530286316319,0.0235257913372381,10.8204932717936,0,1.1,3.9,11.8,59.9,17.0785242293254,0.190844654418697,5.1375307157251,0,0.4,2.9,7.7,23.4,6.35350822827134,0.0709975326842796,20.0803555873364,0,0.1,8.2,37,76,24.6743905609974,0.275724967589399,1.51877819671063,0,0,1,2.2,7,2.19391631519144,0.024516005913281,0.388774698693362,0,0,0,0,7.11,2.50640198754907,0.0280078896001328,88.4069789377867,0,1.8,20.7,131.4,461.5875,142.497079294073,1.59233933145436,33.4187107196283,0,0.9,6.3,38.7,190.8,61.8604936291227,0.691262568726425,43.2819730871745,0,4.4,15.6,47.2,239.6,68.3140969173016,0.763378617674788,20.5501228629004,0,1.6,11.6,30.8,93.6,25.4140329130854,0.283990130737118,80.3214223493454,0,0.4,32.8,148,304,98.6975622439896,1.1028998703576,2.77141844893713,0,0,1.4,4.2,13.6,4.19816981746971,0.0469126171118627,2.72142289085354,0,0,0,0,49.77,17.5448139128435,0.19605522720093,194.771365489822,0,41.9,131.8,319.1,604.1,186.101930656499,2.07960349301182,0.453901315090419,0.171579177645467,0.222219385166431,0.105508953080551,0.412388248895564,0.0142290856870435,0.0139723972464307,0.424473140954071,1.64041350553636,0.706487642381507,1.55995802726184,0.671837353920089,0.0102792418240744,0.0780109339706027,0.0121452188430942,0.0391200445215569,0.0221298327167971,0.244606671686254,0.159360984712083,0.0572232952499427,0.0204602743313582,0.0543424886240875,0.015877172881134,0.0420663240252725,0.0112285985530494,0.16626837332635,0.00697286149212688,0.0438668281664321,0.0160408550757849,0.0465141416501015,0.0273507928129731,0.0291702967020216,0.0176419191982773,0.34657429536317,0.231973179377319,0.0602616841033978,0.0568478496373167,0.0467530108484326,0.0112498225875867,0.125663007719404,3.36907324323911,0.824245595394459,2.75306259990591,0.795813562284073,0.160623666624716,30,46190,4016,16935,8291,8644,4962,10375,1598,33.6997933278447,2.66,6366.54135338346
