"Product_calories","Average_age","Number_of_transitions"
0.515032111325895,43.9101241205279,67965
0.444650353032971,33.0173214308006,437354
0.427017670112263,37.1955815806148,5029637
0.511320864412224,38.8807485549617,230372
0.424115078858611,35.7664163388328,2329739
0.580239663954258,39.8534289568586,377904
0.487378409231304,35.9342757665212,658623
0.509514368823154,36.8964348674518,548281
0.494817537522831,36.1434596339036,1294364
0.438143144916492,36.1907506888258,4455196
0.442704117669104,34.8586409368124,1735978
0.434248049279527,32.973528251007,1889044
0.462625214489702,35.6878139013864,1690186
0.441977873089644,34.9827773236552,2383206
0.423227895912409,38.0376066576336,2564228
0.589577433951383,40.0511879695595,212709
0.485312936492346,36.3723586078982,1071641
0.534402628345916,35.7413967840537,206574
0.485245436450285,34.4841741135017,1121165
0.452547949555503,38.8884727191307,1129929
0.624069489856311,37.0724612348587,60286
0.434856175071639,34.3201199734724,2901056
0.438453164526387,34.8853114753756,2551221
0.523696321340518,36.5931638868283,522740
0.42215240563279,32.0382716635118,2721614
0.46125914263147,35.7367518330239,1220376
0.555652575127749,38.7264016813615,210247
0.447410567866679,34.2006555695937,3453326
0.631824523586885,38.4491619555145,99215
0.460496157997294,31.5147263020774,2414008
0.440147647118636,34.9906233029348,4099623
0.495589328155052,34.8119958556175,931353
0.454880535545989,37.1579520009867,1173131
0.514861602682866,43.9101241205279,68016
0.468288901527788,35.5672855406871,7108
0.537601407928596,35.7004664174851,12582
0.522789926511782,38.4931150541707,6078
0.498021622627588,34.1563345236871,10270
0.482888042861015,33.7519660584416,8830
0.473074641461273,34.4513108620689,15868
0.463343587620292,31.6862147773781,27949
0.47594487699538,33.4742052550445,9975
0.483971436201059,36.3123798258098,7434
0.457759300474304,34.1664210728108,50177
0.445000827371347,33.2346368714172,23974
0.440745102550636,34.3049490550665,11840
0.447733547760978,33.3171891053494,6991
0.403856011469845,27.5881823269724,20196
0.423181656029049,33.0561608435202,38833
0.435501026161378,32.1340541665673,31170
0.464613929392361,32.8657703331871,18543
0.400568765835124,31.2279480416784,53634
0.462222139344143,32.934660715147,11472
0.410629491621876,27.318187061302,22896
0.409942922987224,28.3256886746448,23846
0.488294113022838,41.1117727890325,91703
0.490823486367291,39.6439429925653,78779
0.500836402056221,39.7037939988405,62152
0.473955161476283,37.9355575401837,68823
0.481909885515858,39.2423265796255,62966
0.500678755099446,36.6279225843629,88006
0.463553819968595,42.3147453079732,48467
0.435674560865058,41.8856195584155,80218
0.496512466408695,40.5534950063494,75507
0.467022529129986,38.6724890832919,122123
0.446220185672595,39.1702271200472,160367
0.438491183725625,39.1630701026759,85717
0.464335802363307,36.5188080974963,55361
0.485832568514101,37.7290980247838,60937
0.441692881137805,37.5263204149266,291791
0.450122661216108,37.9466288129922,30846
0.411526482548319,37.8592652614627,81222
0.411251027231879,36.9181655611392,37476
0.430986909638956,38.0726819187769,149114
0.434092867450363,38.0389312991527,172112
0.455562208407351,34.6234803730578,43762
0.440463980264948,35.4857195176629,394064
0.460363904419111,37.0498501802179,241952
0.417312094277908,34.5533770878765,94795
0.417872489211829,37.8823241692008,170220
0.415498171167094,31.8894161782474,46782
0.433700173381542,36.8443203004358,250924
0.416383542835013,39.8561403516053,219135
0.451410418521945,36.7609779474353,139142
0.445591410102754,32.3160524668371,71533
0.39672125244451,36.2338969382407,104642
0.400560205124658,35.8447665892355,218825
0.426192064282919,39.5258882142223,104798
0.327032407086975,32.8716311169958,153452
0.362798840406878,38.0511485152981,119714
0.446071664789988,35.7929612060681,50970
0.296502505961785,33.4089912286285,226205
0.406570414421006,38.0427631588992,77110
0.428017075882694,34.101110109658,151178
0.419702051577287,36.230614167081,178233
0.427107838699194,36.0594750419071,68514
0.41292731252356,31.416277984747,19107
0.436950418364573,34.3246232150842,13853
0.455368123105024,34.1463687139015,12959
0.516588404449648,32.9865567526113,5189
0.439907780222166,38.9096150863893,5648
0.543380403882019,41.4757892096504,9507
0.657218884141795,37.6859699912687,4860
0.489517857782105,32.5562521486173,10541
0.516489138059959,40.4929372107765,12196
0.610377835199268,37.607186957308,4165
0.561309139196241,43.3309082093501,5375
0.505567232759689,39.0824842316012,8524
0.676871284598818,40.3187778479694,5660
0.596171613658499,40.8657935833149,6169
0.517380786372097,39.6964703487224,13960
0.593081135787138,41.7724243994105,3703
0.469354938197493,39.4870988725282,14278
0.420824022405711,37.041441441627,5190
0.550971472829389,40.9941860453534,8145
0.568542495183534,38.7764197510951,7994
0.586525626487582,40.8874645784159,6208
0.629677245607777,42.9819072760322,5201
0.652828715857681,41.5405405397608,3940
0.623061402217496,41.6992137967385,6343
0.623603746690414,41.1685139355407,6781
0.590814100486424,42.7342457346441,7280
0.527861375166786,38.107515658898,4417
0.42850931286337,37.2512234909244,50278
0.43916230189908,36.598892861896,23007
0.460212791805562,37.9848018266147,25427
0.413455641425591,41.1909888347342,31718
0.456999256876003,37.4819384249683,25779
